ID,Phylum,Class,Family,Genus,species nov.,Strain,Clonal,Axenic,PCR,Principle Investigator
MMETSP0198,Labyrinthista,Labyrinthulea,Thraustochytriaceae,Thraustochytrium,sp.,LLF1b,Yes,Yes,No,Eric E. Allen
MMETSP0199,Labyrinthista,Labyrinthulea,Thraustochytriaceae,Thraustochytrium,sp.,LLF1b,Yes,Yes,No,Eric E. Allen
MMETSP0200,Bacillariophyta,Coscinodiscophyceae,Chaetocerotaceae,Chaetoceros,sp.,GSL56,Yes,Yes,No,Matthew Posewitz
MMETSP0201,Dinophyta,Dinophyceae,Gymnodiniaceae,Karenia,brevis,Wilson,Unknown,No,No,Frances Van Dolah
MMETSP0202,Dinophyta,Dinophyceae,Gymnodiniaceae,Karenia,brevis,Wilson,Unknown,No,No,Frances Van Dolah
MMETSP0208,Ciliophora,Spirotrichea,Strombidiidae,Strombidium,inclinatum,S3,Yes,No,No,Denis Lynn
MMETSP0209,Ciliophora,Litostomatea,Litonotidae,Litonotus,pictus sensu Kim and Min 2009,P1,Yes,No,No,Denis Lynn
MMETSP0210,Ciliophora,Heterotrichea,Condylostomatidae,Condylostoma,magnum,COL2,Yes,No,No,Denis Lynn
MMETSP0211,Ciliophora,Spirotrichea,Pseudokeronopsidae,Pseudokeronopsis,sp.,OXSARD2,Yes,No,No,Denis Lynn
MMETSP0213,Ciliophora,Spirotrichea,Euplotidae,Euplotes,harpa,FSP1.4,Yes,No,No,Denis Lynn
MMETSP0216,Ciliophora,Spirotrichea,Protocruziidae,Protocruzia,adherens,Boccale,No,No,No,Denis Lynn
MMETSP0224,Dinophyta,Dinophyceae,Gymnodiniaceae,Togula,jolla,CCCM 725,Unknown,No,No,Juan Saldarriaga
MMETSP0227,Dinophyta,Dinophyceae,Suessiaceae,Polarella,glacialis,CCMP 1383,Unknown,No,No,Juan Saldarriaga
MMETSP0228,Dinophyta,Dinophyceae,Gonyaulacaceae,Protoceratium,reticulatum,CCCM 535 (=CCMP 1889),Unknown,No,No,Juan Saldarriaga
MMETSP0232,Ascomycota,Saccharomycetes,Saccharomycetaceae,Debaryomyces,hansenii,"J26 (Seda-Miro et al, 2007)",Yes,Yes,No,Nadathur Govind
MMETSP0233,Ascomycota,Saccharomycetes,Saccharomycetaceae,Debaryomyces,hansenii,"J26 (Seda-Miro et al, 2007)",Yes,Yes,No,Nadathur Govind
MMETSP0234,Ascomycota,Saccharomycetes,Saccharomycetaceae,Debaryomyces,hansenii,"J26 (Seda-Miro et al, 2007)",Yes,Yes,No,Nadathur Govind
MMETSP0235,Ascomycota,Saccharomycetes,Saccharomycetaceae,Debaryomyces,hansenii,"J26 (Seda-Miro et al, 2007)",Yes,Yes,No,Nadathur Govind
MMETSP0253,Dinophyta,Dinophyceae,Noctilucaceae,Noctiluca,scintillans,,No,No,Yes,Juan Saldarriaga
MMETSP0258,Dinophyta,Dinophyceae,Gymnodiniaceae,Amphidinium,carterae,CCMP1314,Unknown,No,No,"Geoff Sinclair, Boris Wawrik"
MMETSP0259,Dinophyta,Dinophyceae,Gymnodiniaceae,Amphidinium,carterae,CCMP1314,Unknown,No,No,"Geoff Sinclair, Boris Wawrik"
MMETSP0267,Dinophyta,Dinophyceae,Prorocentraceae,Prorocentrum,minium,CCMP2233,Unknown,No,No,"Geoff Sinclair, Boris Wawrik"
MMETSP0268,Dinophyta,Dinophyceae,Prorocentraceae,Prorocentrum,minium,CCMP2233,Unknown,No,No,"Geoff Sinclair, Boris Wawrik"
MMETSP0269,Dinophyta,Dinophyceae,Prorocentraceae,Prorocentrum,minium,CCMP2233,Unknown,No,No,"Geoff Sinclair, Boris Wawrik"
MMETSP0270,Dinophyta,Dinophyceae,Peridiniaceae,Scrippsiella,trochoidea,CCMP3099,No,No,No,"Geoff Sinclair, Boris Wawrik"
MMETSP0271,Dinophyta,Dinophyceae,Peridiniaceae,Scrippsiella,trochoidea,CCMP3099,No,No,No,"Geoff Sinclair, Boris Wawrik"
MMETSP0272,Dinophyta,Dinophyceae,Peridiniaceae,Scrippsiella,trochoidea,CCMP3099,No,No,No,"Geoff Sinclair, Boris Wawrik"
MMETSP0286,Haptophyta,Prymnesiophyceae,Prymnesiaceae,Chrysochromulina,polylepis,UIO037,Yes,Yes,No,Bente Edvardsen
MMETSP0287,Haptophyta,Prymnesiophyceae,Prymnesiaceae,Chrysochromulina,rotalis,UIO044,No,No,No,Bente Edvardsen
MMETSP0288,Apicomplexa,Aconoidasia,Bbesiidae,Alveolata,sp.,CCMP3155,Yes,No,No,Patrick Keeling
MMETSP0290,Unknown,Unknown,Unknown,Chromera,velia,CCMP2878,Yes,Yes,No,Patrick Keeling
MMETSP0292,Ochrophyta,Raphidophyceae,Chattonellaceae,Heterosigma,akashiwo,CCMP2393,Yes,No,No,"Sonya Dyhrman, Andrew Juhl"
MMETSP0294,Ochrophyta,Raphidophyceae,Chattonellaceae,Heterosigma,akashiwo,CCMP2393,Yes,No,No,"Sonya Dyhrman, Andrew Juhl"
MMETSP0295,Ochrophyta,Raphidophyceae,Chattonellaceae,Heterosigma,akashiwo,CCMP2393,Yes,No,No,"Sonya Dyhrman, Andrew Juhl"
MMETSP0296,Ochrophyta,Raphidophyceae,Chattonellaceae,Heterosigma,akashiwo,CCMP2393,Yes,No,No,"Sonya Dyhrman, Andrew Juhl"
